days,samples,dc_energy_kwh,ac_energy_kwh,poa_irradiation_kwh_m2,capacity_factor_percent,dc_to_ac_efficiency_percent,mean_dc_power_w,mean_ac_power_w,mean_poa_irradiance_w_m2,max_dc_power_w,max_ac_power_w,max_poa_irradiance_w_m2,irradiance_dc_correlation,irradiance_ac_correlation,dc_power_per_irradiance,ac_power_per_irradiance,peak_poa_irradiance,peak_dc_power,peak_ac_power,month,month_name,abnormal_days,population,entity
8,11520,5.236321455333333,4.003912495666667,10.580516337666666,1.8619384745473713,76.46422263836716,27.2725178046875,20.852570454861112,55.10538177083333,991.36,820.5399999999998,1026.1,0.7315419917574899,0.7358489989198977,0.3266859388409594,0.177343558497041,1026.1,991.36,820.5399999999998,1,January,8,abnormal,dc_power__422
6,8640,5.6419841454999995,4.5987072798333335,16.713683549666666,2.8513810018807866,81.50868845495117,39.180454655092596,31.93423112152778,116.06685946527777,1265.0,1044.7,1366.8,0.5283586621736803,0.5337315850940452,0.03164373522332194,0.00687182793801017,1366.8,1265.0,1044.7,2,February,6,abnormal,dc_power__422
8,11520,8.885067195,7.054040625333333,15.534976807166666,3.280338832465277,79.39209091522615,46.276379604166664,36.73865063541667,80.91040609288196,954.51,789.0299999999999,1203.4,0.7420901936853278,0.7426574671612316,0.26876360996854587,0.16262632978723404,1203.4,954.51,789.0299999999999,3,March,8,abnormal,dc_power__422
2,2880,2.0609325791666664,1.6080685338333334,-13.118310348666666,2.991198909660218,78.02625617590812,42.935901270833334,33.500468968750006,-358.0283760853769,1185.1,979.92,2262.3,0.339277273111141,0.3344336917887253,0.7812619807587637,0.585855131363882,2262.3,1185.1,979.92,5,May,2,abnormal,dc_power__422
1,1440,1.9076281028333333,1.4550406626666665,0.0,5.4130977033730145,76.27485989043386,79.48449921527778,60.625801777777774,,455.61,372.16,,,,,,,,,6,June,1,abnormal,dc_power__422
1,1440,1.67180821,1.2708854280000002,1.8996527449999998,4.727996383928572,76.01861388155284,69.65867625694446,52.95305945833333,79.15074333333334,736.25,603.56,787.21,0.9981978248553967,0.9954848969133334,0.7950244779698271,0.5593358934282845,787.21,736.25,603.56,7,July,1,abnormal,dc_power__422
1,1440,1.5483156716666668,1.1797966235,1.7231723603333333,4.389124343377975,76.19871354980351,64.51315248611111,49.15763106250001,71.79824389583332,440.5,358.89,455.78,0.9974080022201074,0.9941031778916045,0.7646745616450932,0.5131485345727024,455.78,440.5,358.89,8,August,1,abnormal,dc_power__422
4,5760,1.7695368601666663,1.313391428833333,5.0103917010000005,1.2215322068762398,74.22232666629105,18.432675645833335,13.68077017534722,52.190812815972215,383.98,315.19,972.77,0.4611072057575248,0.46431374710170986,0.014413749017489262,-0.0005613362498397962,972.77,383.98,315.19,9,September,4,abnormal,dc_power__422
2,2880,2.174343342666667,1.6799008511666667,2.1205162013333334,3.1248155713665673,77.26014646363973,45.29882603472222,34.99784587152778,44.175593048611105,991.32,788.4199999999998,861.9199999999998,0.9887420448576829,0.9882439775814291,0.8711544975826072,0.6736887794242339,861.9199999999998,991.32,788.4199999999998,10,October,2,abnormal,dc_power__422
7,9863,3.882716987,-3.925143520499999,40.30267097966667,-2.086066922034438,-101.0927021887521,23.381356634556884,-22.277157973233294,221.86999673121767,1013.0,832.97,1729.2,0.1091832869401008,-0.08483311294638705,0.012921130752213305,-0.046417377395714866,1729.2,1013.0,832.97,11,November,7,abnormal,dc_power__422
7,10080,8.936690458000001,7.352510833833334,24.066498622833333,3.9075844142396536,82.27330764546586,53.19473343055556,43.7644027063492,143.2522515109127,1210.9,999.95,1362.0,0.5441185975961303,0.5641725808700845,0.27585153903012116,0.15402157108779096,1362.0,1210.9,999.95,12,December,7,abnormal,dc_power__422
