days,samples,dc_energy_kwh,ac_energy_kwh,poa_irradiation_kwh_m2,capacity_factor_percent,dc_to_ac_efficiency_percent,mean_dc_power_w,mean_ac_power_w,mean_poa_irradiance_w_m2,max_dc_power_w,max_ac_power_w,max_poa_irradiance_w_m2,irradiance_dc_correlation,irradiance_ac_correlation,dc_power_per_irradiance,ac_power_per_irradiance,peak_poa_irradiance,peak_dc_power,peak_ac_power,month,month_name,normal_days,abnormal_days,population
22,31680,124.76436925316668,102.67816591916667,129.691180908,17.363055654620986,82.2976676224094,236.2961549911616,194.46527235953283,245.62547570391413,1288.4,1062.9,1374.1,0.9880870643485408,0.9880432937253689,0.9599890223274445,0.7921412869545736,1374.1,1288.4,1062.9,1,January,22,8,normal
8,11520,5.236321455333333,4.003912495666667,10.580516337666666,1.8619384745473713,76.46422263836716,27.2725178046875,20.852570454861112,55.10538177083333,991.36,820.5399999999998,1026.1,0.7315419917574899,0.7358489989198977,0.3266859388409594,0.177343558497041,1026.1,991.36,820.5399999999998,1,January,22,8,abnormal
22,31680,139.70005297016667,115.03121425266666,157.32350648283332,19.451977518375717,82.34156810035849,264.583432874053,217.8611908699495,297.95917680145203,1323.1,1090.8,1420.8,0.9619248317262852,0.9623841003965409,0.9416679420147903,0.7768104597545679,1420.8,1323.1,1090.8,2,February,22,6,normal
6,8640,5.6419841454999995,4.5987072798333335,16.713683549666666,2.8513810018807866,81.50868845495117,39.180454655092596,31.93423112152778,116.06685946527777,1265.0,1044.7,1366.8,0.5283586621736803,0.5337315850940452,0.03164373522332194,0.00687182793801017,1366.8,1265.0,1044.7,2,February,22,6,abnormal
22,31680,138.5644318486667,113.30254905266665,152.666199858,19.159657239696067,81.76885477826674,262.4326371780303,214.5872373882576,289.1386554917929,1513.7,1243.2,1447.8,0.9812271784444786,0.9812903666395313,0.9264007992673384,0.758464773922187,1447.8,1513.7,1243.2,3,March,22,9,normal
9,12960,16.526062616,13.341087291666666,23.812528959833333,5.5146690193727945,80.7275610752573,76.50953785339505,61.76318003858025,110.2421015007716,1089.3,894.0299999999999,1203.4,0.8946990336229554,0.8947506703142349,0.3472579196729942,0.2322756994318791,1203.4,1089.3,894.0299999999999,3,March,22,9,abnormal
29,41760,191.1585857315,155.94364860283332,203.40196025116666,20.005086284230465,81.5781556481437,274.653145694205,224.05612718055562,292.242246644636,1450.7,1191.3,1424.7,0.9973943041643408,0.9970913139458876,0.9269136463020287,0.7575610512600544,1424.7,1450.7,1191.3,4,April,29,1,normal
1,1440,6.525874182666667,5.30388321,7.3884748606666655,19.731708370535713,81.27467771425339,271.91141652083337,220.99447193749995,308.2793478025035,1139.7,930.46,1245.5,0.9621208567796659,0.9617963066327637,0.9083921981559102,0.7427037611597529,1245.5,1139.7,930.46,4,April,29,1,abnormal
15,21600,89.56709582749998,72.59120606233334,98.242785032,18.003771344824735,81.04673417360654,248.79748681712965,201.64155259675925,272.89488644490746,1365.7,1119.5,1388.8,0.9984027505825914,0.9979743157854429,0.8979243015604652,0.7290974906741077,1388.8,1365.7,1119.5,5,May,15,16,normal
16,23040,75.98559912116667,61.294383911,99.67723214216667,14.251856378115699,80.66579012328367,197.8791395403646,159.61978498090278,658.2897388154422,1296.0,1062.8,4938.0,-0.12216677063758657,-0.12425221751928733,0.012972652545052166,0.005402899208962568,4938.0,1296.0,1062.8,5,May,15,16,abnormal
30,43200,148.630374681,118.926633637,-14.426578097999998,14.74784643315972,80.01502646565207,206.43107398564814,165.17504568912034,-689.7168811792827,1235.5,1005.0,3206.6,-0.04320993698078774,-0.05160959910740309,0.008637524137841655,-0.000479912052768339,3206.6,616.17,509.62,6,June,0,30,abnormal
5,7200,28.239080010166663,22.800539364333332,32.839398116,16.96468702703373,80.74108418590356,235.32566759861112,190.0040578111111,273.66060098055556,1088.6,887.69,1262.0,0.9986312750110686,0.9981153625068261,0.8508215962441315,0.6806041423732577,1262.0,1088.6,887.69,7,July,5,26,normal
26,37440,117.73817875366666,93.7992155581111,-124.43887079627777,13.421362116259028,79.6676290996135,188.6829783215812,150.31843043821223,-821.4497604615273,1135.1,927.35,1577.1,-0.24153737614365267,-0.23836273771716215,0.642260359132523,0.3370327089160089,1577.1,1078.8,883.61,7,July,5,26,abnormal
29,41760,152.70367849616667,123.2935722815,180.68552872249998,15.816601534469928,80.7404074975149,219.4018346436782,177.1454417658046,259.60391190660914,1163.0,955.0,1331.2,0.9981409688153922,0.9977018667326983,0.8293686359824038,0.671550009066896,1331.2,1163.0,955.0,8,August,29,2,normal
2,2880,8.3522919,6.722698019166666,9.646246308666667,12.505018636842754,80.48926090773558,174.00608248263887,140.05564330208335,200.96246364930556,938.31,768.24,1093.3,0.9985903449698348,0.9981627667439988,0.8540952013875506,0.6887880210778944,1093.3,938.31,768.24,8,August,29,2,abnormal
7,10080,42.59437006099999,34.566818698166664,50.617783547333325,18.370970821729728,81.15349199592114,253.5379150327381,205.75441621825397,301.29405947817463,1197.1,983.3900000000002,1370.1,0.9988778079629241,0.9985114991893114,0.8295770547429501,0.6775392745222538,1370.1,1197.1,983.3900000000002,9,September,7,23,normal
23,33120,108.86848051216666,86.12723521633333,125.3972396145,13.931035716927623,79.11126784460645,197.2255072134662,156.02745520561592,227.1671028722826,1598.2,1219.4,1514.6,0.9613226704834744,0.9627850913754906,0.8584790946104932,0.6843846004492382,1514.6,1598.2,1219.4,9,September,7,23,abnormal
31,44640,211.11533253966664,162.99371079216664,200.6873247543333,19.560497166878672,77.20600338752828,283.757168203181,219.07745756922043,269.73887976276876,1506.3,1149.2,1414.0,0.9988699417799233,0.9987075063654857,1.0386575294324372,0.8024633976295608,1414.0,1506.3,1149.2,10,October,0,31,abnormal
1,1440,5.403458205666666,4.504841735666666,6.916961595833334,16.759083838045633,83.36960450517392,225.1440979791667,187.70108388888886,288.2050297569445,1054.6,874.82,1109.8,0.9249172339220436,0.926516645914859,0.8454371356807057,0.7087161351861888,1109.8,1054.6,874.82,11,November,1,29,normal
29,41543,145.64179892516665,105.90088325533334,178.69102569966668,13.585396558822522,72.71324855699365,210.31688461336608,153.3404189068368,252.54656326119925,1619.8,1182.0,1729.2,0.8045928052559997,0.7787002108041393,1.0383782486146964,0.8059116548769254,1729.2,1619.8,1182.0,11,November,1,29,abnormal
22,31680,112.94305857666666,93.37815012416665,109.38419360783332,15.79040687976303,82.67719264994122,213.9073048090278,176.85203671811868,207.16516574715908,1206.8,999.05,1122.1,0.9959104198974637,0.9958634872344451,1.031516309138995,0.8543080565320323,1122.1,1206.8,999.05,12,December,22,9,normal
9,12960,19.437265478666667,15.991015919333332,34.55117667883333,6.610042956073632,82.26988480907585,89.98755847145061,74.03185338811728,159.95843848148147,1210.9,999.95,1362.0,0.6979423920913911,0.7072574864249487,0.5629580796525381,0.4064490722509208,1362.0,1210.9,999.95,12,December,22,9,abnormal
